"Company","City","location","latitude","longitude"
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"TreviPay","Rijswijk","Rijswijk",52.0446265,4.3188215
"N.V. Juva","Poeldijk","Poeldijk",52.0225167,4.218242
"Breinstein Detachering","Venlo","Venlo",51.3702109,6.1688954
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"SGS","Spijkenisse","Spijkenisse",51.8464881,4.3287681
"Breinstein Detachering","Groningen","Groningen",53.2190652,6.5680077
"Amac","Utrecht","Utrecht",52.0907006,5.1215634
"Sogeti","Utrecht","Utrecht",52.0907006,5.1215634
"Experis","Amsterdam","Amsterdam",52.3730796,4.8924534
"MLC","Leusden","Leusden",52.130355,5.4286989
"Artefact","Utrecht","Utrecht",52.0907006,5.1215634
"Mars","Veghel","Veghel",51.6134636,5.5446455
"BrightStone Group","Randstad","Randstad",52.3780424,5.2260721
"Shared","Rotterdam","Rotterdam",51.9244424,4.47775
"Unica","Hoevelaken","Hoevelaken",52.1757138,5.4577033
"Erasmus MC","Rotterdam","Rotterdam",51.9244424,4.47775
"Aegon Asset Management","Den Haag","Den Haag",52.0799838,4.3113461
"Duvel Moortgat Nederland","Amsterdam","Amsterdam",52.3730796,4.8924534
"Sligro","Veghel","Veghel",51.6134636,5.5446455
"Good Company","Den Haag","Den Haag",52.0799838,4.3113461
"People X","Arnhem","Arnhem",51.984257,5.9108573
"LOGEX Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"People X","Nijmegen","Nijmegen",51.8474946,5.8637771
"Van Dam Datapartners","Utrecht","Utrecht",52.0907006,5.1215634
"Robeco","Rotterdam","Rotterdam",51.9244424,4.47775
"Gradyent","Rotterdam","Rotterdam",51.9244424,4.47775
"GBS Gearbox Services international","Oud-Beijerland","Oud-Beijerland",51.8214436,4.4164728
"The Yuki Company","Rotterdam","Rotterdam",51.9244424,4.47775
"Van Dam Datapartners","Utrecht","Utrecht",52.0907006,5.1215634
"Mondelēz International","Breda","Breda",51.5887845,4.7760237
"People X","Nijmegen","Nijmegen",51.8474946,5.8637771
"LOGEX Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"paraDIGMA Groep","Nieuwegein","Nieuwegein",52.0298704,5.09293337891924
"Infotopics","Oldenzaal","Oldenzaal",52.3116616,6.9241615
"Artefact","Utrecht","Utrecht",52.0907006,5.1215634
"Stork","Utrecht","Utrecht",52.0907006,5.1215634
"Talk360","Amsterdam","Amsterdam",52.3730796,4.8924534
"Goede Doelen Loterijen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Visser & Visser","Barneveld","Barneveld",52.17150665,5.64543924995403
"NS","Utrecht","Utrecht",52.0907006,5.1215634
"Delta-N","Den Haag","Den Haag",52.0799838,4.3113461
"Radancy","Amsterdam","Amsterdam",52.3730796,4.8924534
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"Yusen Logistics (UK)","Amsterdam","Amsterdam",52.3730796,4.8924534
"Aegon Asset Management","Den Haag","Den Haag",52.0799838,4.3113461
"Eraneos","Amsterdam-Zuidoost","Amsterdam-Zuidoost",52.2835706,4.9524489
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Vaartland.nl","Bergambacht","Bergambacht",51.9314474,4.7827247
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Atos","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"C-Support","Den Bosch","Den Bosch",51.6889387,5.303116
"Cmotions","Bunnik","Bunnik",52.03915185,5.22031979924958
"AgroVision","Deventer","Deventer",52.2694897,6.23648855066233
"Euronext","Rotterdam","Rotterdam",51.9244424,4.47775
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"Vrieling","Hardenberg","Hardenberg",52.56982145,6.63316691331398
"Walibi Holland","Biddinghuizen","Biddinghuizen",52.4552216,5.6921598
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Sparkle","Noord-Holland","Noord-Holland",52.7212825,4.820665
"DXC Technology","Nederland","Nederland",52.2434979,5.6343227
"Tiro Partners","Utrecht","Utrecht",52.0907006,5.1215634
"CLdN Cargo","Nederland","Nederland",52.2434979,5.6343227
"Omniboost","Terneuzen","Terneuzen",51.29884295,3.84220439560307
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Tiro Partners","Amsterdam","Amsterdam",52.3730796,4.8924534
"Belastingdienst","Apeldoorn","Apeldoorn",52.17957375,5.93007746080725
"Aviko","Steenderen","Steenderen",52.063858,6.1875742
"Atos","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"Ordina","Groningen","Groningen",53.2190652,6.5680077
"Tiro Partners","Amsterdam","Amsterdam",52.3730796,4.8924534
"Kramp GmbH","Utrecht","Utrecht",52.0907006,5.1215634
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Veneficus B.V.","Rotterdam","Rotterdam",51.9244424,4.47775
"STX Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Veneficus B.V.","Rotterdam","Rotterdam",51.9244424,4.47775
"Action","Zwaagdijk-Oost","Zwaagdijk-Oost",52.7047349,5.1336218
"Joulz","Delft","Delft",52.0114017,4.35839
"Source Up","Amsterdam","Amsterdam",52.3730796,4.8924534
"Limbeek personeelsdiensten","Doetinchem","Doetinchem",51.9585348,6.28145512624139
"Deltics","Hengelo OV","Hengelo OV",52.2658726,6.7924049
"Veneficus B.V.","Rotterdam","Rotterdam",51.9244424,4.47775
"Atos","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"Stitchd","Amsterdam","Amsterdam",52.3730796,4.8924534
"Archer Daniels Midland Company","Amsterdam","Amsterdam",52.3730796,4.8924534
"Colosseus","De Meern","De Meern",52.0811781,5.0363571
"fizor.","Utrecht","Utrecht",52.0907006,5.1215634
"NIBC","Den Haag","Den Haag",52.0799838,4.3113461
"Stitchd","Eindhoven","Eindhoven",51.4392648,5.478633
"TopMondzorg","Hilversum","Hilversum",52.2241375,5.1719396
"Aegon Asset Management","Den Haag","Den Haag",52.0799838,4.3113461
"Q-Support","Den Bosch","Den Bosch",51.6889387,5.303116
"USP Marketing Consultancy BV","Rotterdam","Rotterdam",51.9244424,4.47775
"Fugro","Leidschendam","Leidschendam",52.0861654,4.3946774
"New10 B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
